clean_text,emotion
i bought cheesecake ice cream last week thinking it was good and it sucked so much   im taking yours,emotionally_overwhelmed
so sad i have to pay,emotionally_overwhelmed
guess i missed out on more than beer and a good time,emotionally_overwhelmed
he cant fix it   i guess ill write until i get too bored then watch tv man this is lame,emotionally_overwhelmed
mariemy heart goes out to you,emotionally_overwhelmed
oi are you mocking the fact i dont cry at tv things  feels badxxx,emotionally_overwhelmed
too much no not unless one of the pillows ends up suffocating the one sleeping next to you,emotionally_overwhelmed
yeah i left cause my pc cant run the client anymore i had thought i would have a new one by now,emotionally_overwhelmed
now im all sad because ill probably never see fleetwood mac,emotionally_overwhelmed
dont go to logan square were pretty sure the shirt isnt there   more philly local tmrw,emotionally_overwhelmed
owww back pain  hm walmart or no i could get cupcakes,emotionally_overwhelmed
i still miss him and i dont think hes coming back,emotionally_overwhelmed
stuck here  lady,emotionally_overwhelmed
is having trouble breathing through the painand now i have a  fever,emotionally_overwhelmed
im really sorry i know wallah how u feel this life is shittttttttt,emotionally_overwhelmed
i cant find my camera,emotionally_overwhelmed
oh,emotionally_overwhelmed
do it at like like  causeee im babysitting haha or you should call me causeee im kinda bored right now,emotionally_overwhelmed
tried to swat a fly with my buddhist magazine bad karma,emotionally_overwhelmed
doing my folio work but keep on getting distracted by deb pics,emotionally_overwhelmed
mm films usually handled at fuji  oh i met a girl at san diego kwento soon i miss youuu,emotionally_overwhelmed
why has it been so long since i have talked to you let alone seen you it makes me sad,emotionally_overwhelmed
excitement  new followers overnight sadness  of them are ad bots,emotionally_overwhelmed
my neck hurts a lot,emotionally_overwhelmed
whats the point of wisdom teeth nothing grr in so much pain and i look like a chipmunk fml,emotionally_overwhelmed
i miss the soulja boy dance,emotionally_overwhelmed
every pair of jeans i own nowadays is very tight  i think mah butt gettin big oh,emotionally_overwhelmed
i think everyone hates me on here   lol,emotionally_overwhelmed
listening to maylene and wondering why cant i pull off as many cool southern metal licks as them,emotionally_overwhelmed
i got a headache because of all the hard work today still not ready with a  trying to finished up,emotionally_overwhelmed
internet jus cut me off  was bout  shoot sum guys eye out  kandi,emotionally_overwhelmed
hey mitchel when will you be live again i didnt get a chance to call you,emotionally_overwhelmed
het there r u finished cleaning your pond u shouldnt stay too long u will get all wrinkled up kidding,emotionally_overwhelmed
my baby shut me down,emotionally_overwhelmed
i refuse to get excited as i dont want to be let down  if it happens as long as its not between june    or id die,emotionally_overwhelmed
cheer up lizzi there will b another foh hero concert   but still i suppose we can b upset  xoxoxo,emotionally_overwhelmed
the lab informs me the logic board is dead as well it is farking expensive to replace i dont know what to do,emotionally_overwhelmed
trying to get to sleep but mum is blaring les mis really loudly in the sitting room,emotionally_overwhelmed
ugh nothing to do in the valley  seriously gotta move out of here,emotionally_overwhelmed
my throat hurts and i cant sleep,emotionally_overwhelmed
hell yes im too late,emotionally_overwhelmed
home dont feel like going to work tomorrow,emotionally_overwhelmed
i think my niece got me sickee  lame,emotionally_overwhelmed
only gets spam in her college email account now what a way to rub in graduation,emotionally_overwhelmed
sorry mike was assuming it was music that was missingi dont know then a mystery,emotionally_overwhelmed
an hour in the sun turned me into a blancmange sucks to be pale,emotionally_overwhelmed
anyone have tickets to the mtv movie awards some guy scammed me,emotionally_overwhelmed
i hope you didnt take that quote personally ive been throwing them out here and there all dayguess i shoulda waited a bit,emotionally_overwhelmed
i definitely feel sorry for jamie stewart amsterdam audience can really suck wwwxiuxiuorg and read his post of may th,emotionally_overwhelmed
frustrated by my stupid iphone i need a blackberry,emotionally_overwhelmed
this is absurd  i feel like a dipping in the pool real quick  its too bad i dont have a poool,emotionally_overwhelmed
back to work tomorrow  whose idea was it to go back on a saturday oh wait that would be mine fail,emotionally_overwhelmed
im sadill miss you grandma angie you were always like a rd grandma to me,emotionally_overwhelmed
omfg one of the worst days ever,emotionally_overwhelmed
my shoes hurt my feet,emotionally_overwhelmed
feels sorry every time im printing out i use like  new papers,emotionally_overwhelmed
man i am really sorry,emotionally_overwhelmed
my plans have been ruined,emotionally_overwhelmed
i killed my dill plant again why does this happen with dill it is doing great then suddenly its dead,emotionally_overwhelmed
err i think theyre like  bucks a ticket cause its d too too expensive,emotionally_overwhelmed
i know but work is so boring i prefer the  take on life,emotionally_overwhelmed
ive been reading up on sims  genetics on the sims  forums apparently hair dye is passed on to offspring im very disappointed,emotionally_overwhelmed
pissed that my bluetooth headsets battery out lasted my cells battery gg moto q,emotionally_overwhelmed
outlook not so good,emotionally_overwhelmed
i hve a blister on my pinky nd it hurts soooo much,emotionally_overwhelmed
now i have a sunburn,emotionally_overwhelmed
days left until freedom i really just want to get through this weekend i hate essays,emotionally_overwhelmed
sadly i think i know exactly were you put itin the expired drawer   those things have a life span of less than two years,emotionally_overwhelmed
wow that was fastnext up soderling or ferrer gilles simon lost,emotionally_overwhelmed
jus got back from a run up sunset blvd my cuzin tried to kill me my legs are still movin and im sittin down,emotionally_overwhelmed
ugh fun concert  screen cracked on phone again because it fell,emotionally_overwhelmed
think you should do a tour in england we dont got to see any aweomse people,emotionally_overwhelmed
i was going to but im stuck with it as i seem to have misplaced my remote  its extra bad tonight as well,emotionally_overwhelmed
ahhhhhhhhi cant get miley to notice me,emotionally_overwhelmed
poor tony  come play scrabble on facebook,emotionally_overwhelmed
i just saw a bird slowly die right next to me,emotionally_overwhelmed
everyone is working tonight im bored,emotionally_overwhelmed
you can see the coffee table again so when r u cominging  over  insult me into cleaning the rest of the house,emotionally_overwhelmed
what happened with her why is she being so wierd all of a sudden,emotionally_overwhelmed
iddon blerrrrrrrrrrgh im too hot and all sticky,emotionally_overwhelmed
i hate stupid boys arrgh,emotionally_overwhelmed
oh nosorry to hear that,emotionally_overwhelmed
the voter paint just peeled off my skin or maybe my skin just peeled off with the voter paint,emotionally_overwhelmed
aw that wee lassie made me cry  tears streamin doon ma face lol thats a wee shame x,emotionally_overwhelmed
will have to its only across the water and all just damned expensive,emotionally_overwhelmed
i hate it when my bff is groundedd  boooooooooo,emotionally_overwhelmed
feels sick to my stomach and idkk whyy,emotionally_overwhelmed
is bummed outi dont have even one testimonial on flickr,emotionally_overwhelmed
im having trouble viewing it as well on you tube for some reason,emotionally_overwhelmed
cut my thumb with the saw in small metals   again,emotionally_overwhelmed
well test that theory  with no right arm to strum with  got a feelin ill be humming my new tunes for a while,emotionally_overwhelmed
beag     i hate cat pee,emotionally_overwhelmed
long day and i still have to mow the lawn,emotionally_overwhelmed
it takes a big man to type a sad tweet like that,emotionally_overwhelmed
i am so bored i really dont know what to do,emotionally_overwhelmed
my net died so yeah  im sad now,emotionally_overwhelmed
they wouldnt reverse any of my overdraft fees,emotionally_overwhelmed
its ugly and gray outside even in san diego not too cold will get to  but maygray junegloom for us all,emotionally_overwhelmed
sore throat this is not good i have four performances this weekend,emotionally_overwhelmed
weird maybe all the updates just arent being sent to my phone  haha,emotionally_overwhelmed
sometime around midnight by the airborne toxic event literally cannot escape it fml,emotionally_overwhelmed
this picture made me cry  lol,emotionally_overwhelmed
i found out that theres sushi with fake crab meat and its not good for you,emotionally_overwhelmed
does not feel like babysitting i want to go to the gym weird i know i miss zack,emotionally_overwhelmed
hey guys y did the sun make my day gloomy,emotionally_overwhelmed
you are the result of a broken condom,emotionally_overwhelmed
i made a vid for you proving my skills that you denied but my step dad said hed disown me if i posted it    sowey,emotionally_overwhelmed
i have not been this sick in years omg this sucks so bad sickness ended up including a full restroom cleanup,emotionally_overwhelmed
youre diabetic   so is my dad   i might be too not sure  are you still allowed to eat sugar throughout the day,emotionally_overwhelmed
yeah ill probably stop when all of my stories are completely finished that wont be for a while though wide awake,emotionally_overwhelmed
feels really sick,emotionally_overwhelmed
i miss you,emotionally_overwhelmed
oh no my fun weekend with friends is gone my mother has made a family weekend of it,emotionally_overwhelmed
i should have know that extra hand comment would cause trouble  about to upload house music and beyond vol,emotionally_overwhelmed
jesus christ meadowhall could do with better air con too hot,emotionally_overwhelmed
rip curls,emotionally_overwhelmed
sadly i cant view that site due to region restrictions,emotionally_overwhelmed
now in a weird mood  muahaz,emotionally_overwhelmed
dubbs curse you igloo dwellers,emotionally_overwhelmed
feels my cousin is a monkey,emotionally_overwhelmed
sites that republish my blogs feed often end up higher than my blog on google search results,emotionally_overwhelmed
im really bored my brother went to get his permit stay off the roads jk lol it feels like all my friends have abandoned me except,emotionally_overwhelmed
hey thats my school i hate that place,emotionally_overwhelmed
twitter fam im about to hop back on aim i went ghost on yall lolz sowwy,emotionally_overwhelmed
awaiting reply from two projects one cancelled,emotionally_overwhelmed
i just watched marley  mei cried so hard,emotionally_overwhelmed
i dont want to be a complete hypocrite  i attended an rrated event while i was there  the timing was just ironic,emotionally_overwhelmed
oh god a moth was living in a  power outlet  actually my powersquid,emotionally_overwhelmed
moving offices  im going to miss you hollywood,emotionally_overwhelmed
dammit  i need new cupcake tins,emotionally_overwhelmed
blah to car repairs almost  dollars   shopping around for a better deal,emotionally_overwhelmed
nne im not having a good day,emotionally_overwhelmed
yeah do you feel anything at all i remembered i was looking at loopt on his phone and that  was coughin all over that,emotionally_overwhelmed
sorry  i misspelled twice already im notgiving you up just have to run,emotionally_overwhelmed
wonders if anyone would care if she died tomorrow,emotionally_overwhelmed
the old blue g is too slow to code on nowadays i have a laptop ive borrowed from work  lets me lounge while i browse,emotionally_overwhelmed
wondering why its so cold  the skylight is open  i left the gas on this morning,emotionally_overwhelmed
i totally forgot my phone at home this morning,emotionally_overwhelmed
crying to a walk to remember as usual,emotionally_overwhelmed
its trashy and sensationalistso yes,emotionally_overwhelmed
yeah i got ur text well ive only been on summer break for a week and so far its been boring all i do is watch tennis matches,emotionally_overwhelmed
best friend is leaving to go back to school todayi am so sad,emotionally_overwhelmed
bad mood and i dont feel good too bad no one cares,emotionally_overwhelmed
theres relisting fees when you dont complete a sale  that sucks,emotionally_overwhelmed
this morning i rode behind a guy with a bird cage containing a plastic tyrannosaurus rex attached to his bicycle i couldnt get a photo,emotionally_overwhelmed
im following you im following you im sorry  ahhahah i missed you,emotionally_overwhelmed
hugs oh gosh im sorry,emotionally_overwhelmed
lauras gone for the weekend i miss her already,emotionally_overwhelmed
d but it is making people unhappy and i dun like unhappiness,emotionally_overwhelmed
i missed them at red rocks  sad couple of days,emotionally_overwhelmed
i have  friends going  so jealous,emotionally_overwhelmed
hushstop teasing,emotionally_overwhelmed
omg did anyone see the wee girl on bgt sucha shame,emotionally_overwhelmed
that sucks  booo,emotionally_overwhelmed
not made it to work  couldnt get up feelin blurgh,emotionally_overwhelmed
i miss my puppy,emotionally_overwhelmed
i think my cold is getting worse not better  i cant stop coughing  it really sucks,emotionally_overwhelmed
i cant wait to start my weekend im so sick of working i have to selfmedicate and im fresh out of herb,emotionally_overwhelmed
no phone call yett hrmm maybe a call from my end is in order  ill wait a bit longer prom nights are often spuratic moments,emotionally_overwhelmed
yes i think so unless it changed  i sent u a happy mothers day text but u never responded back,emotionally_overwhelmed
me too,emotionally_overwhelmed
sad that christian lacroix had to file bankruptcy,emotionally_overwhelmed
unfortunately im not drunk enough lol and have no money to get drunk  i have had alot though as u can imagine haha,emotionally_overwhelmed
man i am being boring today not tweeting  how are you guys,emotionally_overwhelmed
natalya you gotta tell me whats going on id call you but i lost all my phone numbers when i broke my blackberry,emotionally_overwhelmed
which denomination im at the library and everythings blocked,emotionally_overwhelmed
bebop thats lame sorry,emotionally_overwhelmed
people are peoplenooooo id never have guessed thtidiotim grouchy now,emotionally_overwhelmed
internet  drawing   im backing up blackberry files which could take hours  then to the drawing preps done,emotionally_overwhelmed
i think im broke again,emotionally_overwhelmed
did a historical jesus ever exist im finding it hard to prove its all hearsay accounts  it bugs me,emotionally_overwhelmed
uhohits becoming grey again out here i hope its not one of those popup showers on the way,emotionally_overwhelmed
just got laid off  stupid economy,emotionally_overwhelmed
morning everyone sorry for going early last night had bad news felt totally    today is a new day,emotionally_overwhelmed
heading off to poole around ish  has some serious gardening to do before we go no tweetdeck til sunday evening,emotionally_overwhelmed
this is post guitar hero  kicking,emotionally_overwhelmed
simplegirl  i have to miss the festivities this evening  heading up the hill and wont have internet and no bb service,emotionally_overwhelmed
im dreading hearing even worse news tonight,emotionally_overwhelmed
nothing could get worse or could it if it did i think id be on the verge of killing myself or someone else things are not good anymore,emotionally_overwhelmed
i hate it when a website says the ticket prices are on another website and their not,emotionally_overwhelmed
i am surprised you havent fired  for announcing the whole world of they body theyd found selfish,emotionally_overwhelmed
it hurts now,emotionally_overwhelmed
anybody else experiencing painful slowdowns with facebook,emotionally_overwhelmed
gosh ive a stinky old headache maybe i should have lunchfast,emotionally_overwhelmed
i shouldnt have left,emotionally_overwhelmed
yeah i need his fricken cell number ive tried his home for months and hes too busy i miss braddddddddd,emotionally_overwhelmed
ohh yeahh  im probs gonna be a loner to start with thanks to the person i was gonna go with be a,emotionally_overwhelmed
dear rain you suck now i gotta change my plans for tonight,emotionally_overwhelmed
straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,emotionally_overwhelmed
i dont really trust the judgements and vouches of xo   jk ill think about becoming a friend of yours,emotionally_overwhelmed
back time  i wish i was a teenager again i wish i could feel healthy again i cant remember what its like to feel healthy anymore,emotionally_overwhelmed
hmmm wrong link ignore my tweet,emotionally_overwhelmed
its weird being at the guys house without them here i dont like it,emotionally_overwhelmed
my eyes are starting to hurt so late but must reach  updates due to tweets sent to youuuu philippines tour pleeease,emotionally_overwhelmed
just saw a dooope bmw  series parked with the top backto bad it was raining,emotionally_overwhelmed
im hangin out with my cousin holly and tlkin  my grandparents  my phone went dead,emotionally_overwhelmed
thats odd as its on my lap  maybe thats your cat o s,emotionally_overwhelmed
omg no icecream,emotionally_overwhelmed
only  tweet in the last  hours  nobody likes my tweetboard,emotionally_overwhelmed
lazzzzzzzzzzzzzzzy monday  bank holiday  nicole why havent u direct msged me yet,emotionally_overwhelmed
oooh you just spoiled my teenage fantasy,emotionally_overwhelmed
have to go to the dreaded dmv tomorrow,emotionally_overwhelmed
theres something about this area that makes my tonsils swell up everyday i dont get it  i feel slightly miserable  done  now,emotionally_overwhelmed
aww thats too bad you lost it though,emotionally_overwhelmed
so many farewell parties sad to see people leaving,emotionally_overwhelmed
im slowing on my tweetscuase i lost my phone,emotionally_overwhelmed
i broke my ipod,emotionally_overwhelmed
that seized bolt ya its still stuck the bushing is actually seized to the bolt very very lame   perhaps some heat will work,emotionally_overwhelmed
booo my best friend is leavin for the weekend what ever will i do without her,emotionally_overwhelmed
i feel so deflated no more doggy,emotionally_overwhelmed
playing at my old school playground still the same except them lame  got rid of the tire swing,emotionally_overwhelmed
why is everyones tweets about britains got talent i feel left out,emotionally_overwhelmed
im a sad panda hulu doesnt have the elephant show   no skinnamarinkydinkydink sing alongs for me,emotionally_overwhelmed
i miss you terribly,emotionally_overwhelmed
my applemouse doesnt work on my shiny red coffee table,emotionally_overwhelmed
not really having a good night missing my little girl,emotionally_overwhelmed
really that son of a  screw him ill talk to on msn later k  xox,emotionally_overwhelmed
oh no i must be gettin old my mom use to watch this showi miss her,emotionally_overwhelmed
brah u not happy,emotionally_overwhelmed
miss u too im still at a clubu knowwest coast,emotionally_overwhelmed
what did you think of the finale  i thought it was kind of a cheap way out,emotionally_overwhelmed
sad daniel is leaving florida now just gave him a big hug,emotionally_overwhelmed
spent the last  years largely ambivalent about sw dev practices can feel care factor returning look out,emotionally_overwhelmed
youre silly,emotionally_overwhelmed
i always hope they will die out but then i see the the old ones and it makes me sad,emotionally_overwhelmed
haha yea i just feel like its being taken the wrong direction used to be a cool place now its a mess,emotionally_overwhelmed
cramps,emotionally_overwhelmed
i know i miss her,emotionally_overwhelmed
its coming out the socket  i feel like my phones hole is not a virgin thats how loose it is,emotionally_overwhelmed
looks like were rained out for weekend climbing,emotionally_overwhelmed
tried to join the chat but the site would not let me sign in,emotionally_overwhelmed
my mind is racing  bc of  words he wrote  i hate him but i hate her most  and i cant keep from falling for him,emotionally_overwhelmed
omgosh its  degrees and im sweating and miserable  what am i gonna do when i visit the atx needac needac,emotionally_overwhelmed
i cant go to the grocery store on an empty stomach thats trouble i wanna see ur show but not sure ill get to  let u kno,emotionally_overwhelmed
the poor pirate had out his last wisdom tooth and is looking really peaky,emotionally_overwhelmed
i think you were dreaming that  however my memory does suck so maybe not,emotionally_overwhelmed
feeling awful new medication is making me nauseous,emotionally_overwhelmed
all of a sudden im craving broccoli and cheese soup really bad my mouth is watering envisioning a bread bowl in my head,emotionally_overwhelmed
have to wear my glasses today cos my right eye is swollen and i dont know why,emotionally_overwhelmed
psa being that ive been usuing twiddict my last  tweets have yet to show on the bored bare w me,emotionally_overwhelmed
is anyone awake oh my god i am dying here i want to go to sleeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeep,emotionally_overwhelmed
no launch today teacher changed plans and we watched a stupid move about tesla,emotionally_overwhelmed
sooo the childrens museum was closed for a fund raiser when we got there  annoying,emotionally_overwhelmed
wants  to come back online so that he can talk about all the gossip and horrible things which transpired today,emotionally_overwhelmed
dislocating your thumb more painful than dislocating your toe i was reminded of this today thankfully by my toe still feels weird,emotionally_overwhelmed
yes but im quite rusty  im hoping to get back to it and tune up my skills  tim plays guitar  we threaten duets,emotionally_overwhelmed
im in va for the weekend my youngest son turns  tomorrowit makes me kinda sad he is getting so big check out my twipics,emotionally_overwhelmed
lost my dc hat,emotionally_overwhelmed
in commentary   i was with her was sad very sad,emotionally_overwhelmed
my nose stud fell out and i cant find it  looks like ill have to head into amsterdam today and get a new one,emotionally_overwhelmed
jessie has gone away  the weekend i miss her already,emotionally_overwhelmed
aww  but we miss you here in the usa,emotionally_overwhelmed
my guinea pig died today,emotionally_overwhelmed
sadly  brother told me there are no skateparks where he lives bummer,emotionally_overwhelmed
you disappointed me,emotionally_overwhelmed
eating my roommates cereal sorry bro,emotionally_overwhelmed
too sick for rigging tomorrow,emotionally_overwhelmed
well miss you im sad i didnt get to meet you,emotionally_overwhelmed
nooooo  working this weekend,emotionally_overwhelmed
twitter has spoiled all the fun frustratingly slow  couldnt even bid properly,emotionally_overwhelmed
ohh sorry  thats someone elses pic  my bad,emotionally_overwhelmed
kimmeh me too i miss it  i however will  for the rest of my life,emotionally_overwhelmed
there is always one joykill in the crowd    haters,emotionally_overwhelmed
alo is so sad and quiet and empty tonight,emotionally_overwhelmed
does real detroit weekly not have a websiteoh the horror the horror,emotionally_overwhelmed
perhaps they see it as the twitter version of pulling someones pigtails let me know if that works out for you,emotionally_overwhelmed
you know i am so ashamed i did not watch a single episode of the new gh season  i kept falling asleep so i gave up,emotionally_overwhelmed
discovered that numpy arrays can hold values of any type  useful for manipulating arrays of numbers with uncertainties,emotionally_overwhelmed
im sunburnt on my arms and i have burnt my mouth and some skin is coming off,emotionally_overwhelmed
just got notified my podcast was accepted into itunes  of course i then realized it was miss formated  fixed now,emotionally_overwhelmed
i kinda like not having a car but there have been situations lately where i have been prevented from participating due to my carlessness,emotionally_overwhelmed
fml not having a car is prohibiting finding a job,emotionally_overwhelmed
so yeah things arent going so well for me im getting to feel like i havent felt in a long long time,emotionally_overwhelmed
youre alive  go w the notebookitll make you cry and stuff,emotionally_overwhelmed
i feel very ill i think im dehydrated,emotionally_overwhelmed
has made a decision and will stick to it although im really not sure its the right one,emotionally_overwhelmed
gutted the kitchen is empty literally empty no even kidding im so hungry,emotionally_overwhelmed
grr we are only allowed gas grills where i live it sucks,emotionally_overwhelmed
im jealous  im slaving away at the store and youre chilling on the boat,emotionally_overwhelmed
anyone ever had that heavy feeling of sadness in their hearts thats my case rite now,emotionally_overwhelmed
pansy  wtf codeh,emotionally_overwhelmed
i cant sleep this is so darn frustrating,emotionally_overwhelmed
hmmm really thats weird idk about that one  sowwy,emotionally_overwhelmed
radio royals am transmitter has packed up today not good   anyone got a spare in your shed lol,emotionally_overwhelmed
is ugh what a miserable looking day  degrees where did summer go,emotionally_overwhelmed
anyone have a super nintendo controller they want to sell me mine broke,emotionally_overwhelmed
babysitting in the sun and heat im getting lots of freckles,emotionally_overwhelmed
hate working when its sunnyboohoo,emotionally_overwhelmed
while driving u come across aggressive driving behaviour by another driver u should chase the car  tell the driver how to drive,emotionally_overwhelmed
ugh my feet feel like theyre going to fall off,emotionally_overwhelmed
i failed in my assassination attempt on louis  re,emotionally_overwhelmed
please send me those youtube links erin watched most of them but i was cooking and didnt get to see the cowboys,emotionally_overwhelmed
oyler poor little woman with her smushed in head,emotionally_overwhelmed
wtf rehearsal  off  got to space and room was booked and the  brothers have stuff right after so we cant transfer to another room studio,emotionally_overwhelmed
this is the worst,emotionally_overwhelmed
english screwed up my overall percentage in x in xii again and probably in adm tests too  happens,emotionally_overwhelmed
were off  im sorry parents coming in around  gonna eat with them then househunt in richardson raaaain cheeeck,emotionally_overwhelmed
bahah sadly i am not,emotionally_overwhelmed
ive been sat sunbathing in the bombed out church all day and left and missed you,emotionally_overwhelmed
aww thats sad  i miss seeing you guys on the big screen,emotionally_overwhelmed
the underwire in my bra is sticking out and poking me in the armpit,emotionally_overwhelmed
i think the food i ate made me sick i no feel so good,emotionally_overwhelmed
i cant sleep i cant find my grandmothers quilt or locket im sick at myself cause i may have lost them somehow or they were stolen,emotionally_overwhelmed
no pool today   stupid weather,emotionally_overwhelmed
is feeling sick  oh well i reckon those people on the bus cursed me anyways nighty night all,emotionally_overwhelmed
so far ive tried to kill myself twice in the  mins ive been outside by tripping on stupid things  i knew i shouldve stayed in bed,emotionally_overwhelmed
wow tomorrow and then its over ill never see some of those people again its kind of sad,emotionally_overwhelmed
im missin out on all the fun aww  cryin lol,emotionally_overwhelmed
i rarely sleep cant help it   hehe,emotionally_overwhelmed
these messages are teasing me it isnt fair,emotionally_overwhelmed
my bike was put on holdshould have known that argh total bummer,emotionally_overwhelmed
i dont have  work saturday  i was suppose  hang out with my friend  watch it we can still hang out but no jonas,emotionally_overwhelmed
yup its working they couldnt recover anything on it though,emotionally_overwhelmed
no my school will start on june  two days to go i still dont want l,emotionally_overwhelmed
gosh im bored its earlyn i wanna goto sleeeepp why am i at work  kay,emotionally_overwhelmed
but i do emily ahahha you scare me so it would work,emotionally_overwhelmed
i am in kuala lumpur and i know i vanished haha i broke up with my last boyfriend thats why im back,emotionally_overwhelmed
are you serious that bloooooows,emotionally_overwhelmed
heyy i have a sis of  year with  months and still she don t want to walk,emotionally_overwhelmed
my birthday weekend cant find where my ex hid our dane cook tickets for tomorrow wtf thats all i wanted for my birthday,emotionally_overwhelmed
caught tweets on it and got home in time for the last  mins of the itv show  out tonight too so will miss it again,emotionally_overwhelmed
lappy charger is completely dead conserving whats left of the battery until i can afford to buy a new one,emotionally_overwhelmed
brian cat still hasnt shown upi feel sad and sick im afraid hes been eaten by something    it doesnt look  good,emotionally_overwhelmed
sucks that i dont have a drawing tablet,emotionally_overwhelmed
oh jealous though youre missing the fried potato bread,emotionally_overwhelmed
feeling bad for  profile pic,emotionally_overwhelmed
itx no credits for me unfortunately,emotionally_overwhelmed
woke up early this morning  not happy bout that headache dizzy cant breathe yeh im still sick,emotionally_overwhelmed
hello there taylor  i miss you its been  months,emotionally_overwhelmed
iamkiara  im so sick  i fell over last night outside coz i was putting something in the bin,emotionally_overwhelmed
well looks like it is going to be another night without my snuggle bug  missing my big girl,emotionally_overwhelmed
oh no my tweetdeck is malfunctioning o il have web will its fixd,emotionally_overwhelmed
i am going to die tomorrow night   should be here,emotionally_overwhelmed
all ready for work except my arm,emotionally_overwhelmed
